team_id_master,team,state,gender,age_group,component_id,component_size,degree
a87f37373603,Chaos 15' Red,MI,M,U11,0,23630,21
66517a4997bd,TFA-Hollywood B2015,CA,M,U11,0,23630,18
66f685b9543a,CFA OC SC B15 Miguel,CA,M,U11,0,23630,32
42b650370c12,Mercer United FC Mooch 2015,NJ,M,U11,0,23630,19
8005fa8bdffe,Medford SC Columbia 2015,NJ,M,U11,0,23630,17
a9e25c5cfad1,South County B2015,CA,M,U11,0,23630,26
3f51da4696d9,Palo Alto SC 15B Blue,CA,M,U11,0,23630,30
16a0e7ba31bf,Irvine B2015 Diaz,CA,M,U11,0,23630,16
cf39820bafb2,Raptors,NY,M,U11,0,23630,22
899358b76d13,TPSC Sharks 2015 Boys,CA,M,U11,0,23630,20
4cac8a741b64,2015B Red Pre ECNL,FL,M,U11,0,23630,25
51c8ecbba0ae,Carlsbad B15 Gold - Manhungo,CA,M,U11,0,23630,23
33b5595bda88,2015B Navy,NY,M,U11,0,23630,21
0117c36fdd49,California Rush B15 Nero - Huntington Beach,CA,M,U11,0,23630,48
074701e47dbc,Buckingham United 2015 Boys Blue,PA,M,U11,0,23630,26
7779ecb48b06,Synergy FC 15/16B Montone,AZ,M,U11,0,23630,35
373609116e26,Pythons 2015,NJ,M,U11,0,23630,24
c7f7da87f297,MVLA 15B Liverpool Blue,CA,M,U11,0,23630,42
b75081ca0570,Mustang SC Tigers 15M,CA,M,U11,0,23630,21
f2645aa155e8,North County B2015 Blue,CA,M,U11,0,23630,29
2fd3cb13957c,15B FPFC PRE-ECNL II,FL,M,U11,0,23630,27
ba709c01b311,ANBBK Boynton Beach Knights BBK-2015-B-Black,FL,M,U11,0,23630,29
963134a572be,U11 Union FC 15B JDP,CA,M,U11,0,23630,33
30a83c184440,Michigan Wolves 15 Academy,MI,M,U11,0,23630,17
e0360c30cc46,Dnamo FC Manchester 2015B,CA,M,U11,0,23630,17
8ecaeb023a0f,QUSC Arsenal,NY,M,U11,0,23630,22
2b4910aafc5a,NEFC North Shore Boys 2015 Red,MA,M,U11,0,23630,29
c3beb4d6aaad,SF Glens 15B Green,CA,M,U11,0,23630,27
d1a87f1dcf20,15B Academy I,CA,M,U11,0,23630,25
0d8118c040b6,Pride SC 2015B Copa,OH,M,U11,0,23630,21
731e9816bef7,B2015 Pink,CA,M,U11,0,23630,16
f741230c88a3,SCV B15 GOLD,CA,M,U11,0,23630,18
8b271a21e05b,Midland Fusion 15 Green,MI,M,U11,0,23630,21
0d9067d810e0,2015 Maryland United FC Pre-ECNL RL,MD,M,U11,0,23630,30
